174 195
0 12 36.8
0 14 40.0
0 11 24.0
0 32 25.0
0 26 99.1
11 33 18.7
11 9 121.0
11 10 134.0
32 24 58.0
9 10 78.8
10 141 203.0
141 67 192.0
67 68 6.0
67 2 14.9
68 69 10.3
69 70 12.6
2 130 18.8
130 129 33.7
2 143 46.1
70 54 79.2
27 4 39.1
4 65 55.8
4 62 44.3
4 31 47.6
31 53 44.0
53 55 73.1
55 13 61.1
13 147 50.4
4 58 118.0
58 59 33.7
59 41 170.0
58 7 195.0
147 3 54.8
3 148 34.1
148 146 33.4
146 149 138.0
41 52 91.1
7 41 204.0
7 35 41.5
7 3 155.0
41 64 240.0
60 30 70.0
29 60 70.8
29 25 56.7
25 63 109.0
28 63 122.0
26 63 189.0
65 28 156.0
26 27 91.2
27 54 72.2
62 29 53.9
3 44 64.4
149 150 101.0
150 154 24.8
154 153 22.4
154 155 34.8
155 114 52.5
155 157 48.5
157 152 9.2
152 76 71.0
152 50 178.0
50 115 64.9
50 49 19.0
49 39 130.0
39 40 130.0
39 117 97.5
117 116 59.8
117 120 79.9
116 118 100.0
120 121 15.6
120 119 22.2
119 122 130.0
119 137 61.3
137 123 64.1
123 128 30.7
128 142 42.7
5 142 8.6
142 166 5.5
166 37 40.6
37 124 46.8
37 126 148.0
124 125 3.3
42 37 151.0
42 57 90.2
57 43 15.9
127 43 105.0
43 56 70.9
56 36 47.3
127 38 80.4
38 167 37.4
38 5 15.2
167 5 52.2
35 127 83.6
35 36 75.3
44 151 42.5
151 45 69.2
45 46 49.0
46 47 72.2
47 48 51.3
143 144 11.8
169 170 28.6
169 153 130.0
154 150 41.8
144 156 76.6
156 149 43.0
170 135 1.3
114 110 101.0
110 1 22.2
115 51 39.8
1 106 37.2
106 109 36.6
109 105 101.0
105 138 27.1
109 158 191.0
158 165 43.0
165 163 47.4
163 164 137.0
138 171 57.6
171 96 190.4
172 95  90.0
135 108 12.3
108 107 26.3
107 112 48.0
139 112 16.2
139 140 28.2
111 140 55.0
133 111 120.0
133 132 108.0
131 133 25.8
133 134 63.9
134 132 48.6
111 135 73.8
135 136 42.5
136 138 100.0
138 173 189.0
138 136 34.7
113 112 51.6
115 110 135.0
164 159 140.0
159 160 95.3
160 161 9.6
160 162 149.0
105 104 233.0
173 100 188.0
100 101 377.0
101 103 86.7
104 103 39.1
103 102 302.0
173 96 117.0
96 95 27.9
95 174 224.0
174 6 52.6
6 83 6.3
83 82 88.6
82 81 86.4
101 99 178.9
99 98 19.4
98 97 4.4
6 84 369.0
84 94 702.0
94 93 144.0
94 92 325.0
92 91 90.7
89 88 44.1
88 87 35.4
87 8 17.4
87 86 19.5
86 85 148.0
85 78 148.0
78 77 59.4
77 75 61.3
75 79 130.0
75 74 53.1
74 73 107.0
73 72 68.3
79 66 116.0
79 80 162.0
80 34 79.6
66 71 88.8
71 90 70.2
34 23 76.1
23 24 23.0
24 20 38.8
20 22 39.5
22 21 9.2
24 32 58.0
32 19 92.7
14 15 28.6
15 16 96.3
16 17 22.4
17 18 27.3
12 168 72.9
168 61 255.0
16 26 150.0
172 6 53.0
